player_name,hr_count,avg_hr_distance,max_hr_distance,avg_launch_speed,max_launch_speed,barrels,brl_percent
"Stanek, Ryne",7,379.4,406,105.85714285714286,109.2,,
"Junis, Jakob",5,379.4,423,103.22,109.8,,
"Peralta, Wandy",5,379.0,412,105.58,111.5,,
"Alexander, Jason",15,378.6,418,102.74,109.6,,
"Thornton, Trent",6,378.2,408,107.11666666666667,111.4,,
"Brieske, Beau",5,377.6,394,102.3,108.1,,
"Hader, Josh",8,377.2,443,103.1125,106.8,,
"Canning, Griffin",8,376.8,432,103.125,107.7,,
"Hamilton, Ian",5,376.6,390,104.2,115.2,,
"Hart, Kyle",11,376.4,403,104.01818181818182,111.7,,
"Snell, Blake",6,376.2,423,100.58333333333333,109.0,,
"Loáisiga, Jonathan",7,373.0,403,101.85714285714286,106.4,,
"Garrett, Reed",5,371.2,417,101.02000000000001,105.8,,
"Dubin, Shawn",6,356.5,385,99.83333333333333,108.6,,
